Window,Interval,Model,Strategy,Slippage %,final_equity,total_return_pct,buy_hold_final_equity,buy_hold_return_pct,num_trades,active_bars,total_bars,win_rate_pct,total_slippage_cost_usd
Recent,Hourly,Base,Unfiltered,0.2,7192.69382290015,-28.073061770998496,10653.943896254543,6.53943896254543,85,719,719,49.791376912378304,3380.0
Recent,Hourly,Base,Unfiltered,0.54,4031.64190078189,-59.68358099218109,10653.943896254543,6.53943896254543,85,719,719,49.791376912378304,9126.0
Recent,Hourly,Base,Filtered+Hysteresis,0.2,10096.459161224922,0.9645916122492215,10653.943896254543,6.53943896254543,96,198,719,62.121212121212125,1920.0
Recent,Hourly,Base,Filtered+Hysteresis,0.54,7278.7405603811585,-27.212594396188415,10653.943896254543,6.53943896254543,96,198,719,62.121212121212125,5184.0
Recent,15-Minute,Small,Unfiltered,0.2,6295.609839160525,-37.043901608394755,10564.762392639224,5.647623926392242,131,2879,2879,50.57311566516152,5220.0
Recent,15-Minute,Small,Unfiltered,0.54,2575.2516559632936,-74.24748344036706,10564.762392639224,5.647623926392242,131,2879,2879,50.57311566516152,14094.0
Recent,15-Minute,Small,Filtered+Hysteresis,0.2,7685.320121330066,-23.146798786699343,10564.762392639224,5.647623926392242,338,1160,2879,57.1551724137931,6780.0
Recent,15-Minute,Small,Filtered+Hysteresis,0.54,2419.454766217228,-75.80545233782772,10564.762392639224,5.647623926392242,338,1160,2879,57.1551724137931,18306.0
Recent,15-Minute,Base,Unfiltered,0.2,4830.369577654332,-51.69630422345668,10675.192465545122,6.751924655451225,188,2879,2879,51.5804098645363,7500.0
Recent,15-Minute,Base,Unfiltered,0.54,1336.9231763268122,-86.63076823673188,10675.192465545122,6.751924655451225,188,2879,2879,51.5804098645363,20250.0
Recent,15-Minute,Base,Filtered+Hysteresis,0.2,6966.8692291298585,-30.331307708701416,10675.192465545122,6.751924655451225,377,1022,2879,59.39334637964775,7580.0
Recent,15-Minute,Base,Filtered+Hysteresis,0.54,1913.1108237260094,-80.8688917627399,10675.192465545122,6.751924655451225,377,1022,2879,59.39334637964775,20466.0
Down-Trend (Jun 2026),Daily,Small,Unfiltered,0.2,8905.165960983024,-10.948340390169765,8209.720356986316,-17.902796430136835,8,29,29,41.37931034482759,300.0
Down-Trend (Jun 2026),Daily,Small,Unfiltered,0.54,8456.365634185076,-15.436343658149232,8209.720356986316,-17.902796430136835,8,29,29,41.37931034482759,810.0
Down-Trend (Jun 2026),Daily,Small,Filtered+Hysteresis,0.2,9850.378669493793,-1.4962133050620663,8209.720356986316,-17.902796430136835,3,4,29,50.0,60.0
Down-Trend (Jun 2026),Daily,Small,Filtered+Hysteresis,0.54,9751.297839046316,-2.4870216095368436,8209.720356986316,-17.902796430136835,3,4,29,50.0,162.0
Down-Trend (Jun 2026),Daily,Base,Unfiltered,0.2,10003.283531620098,0.03283531620097424,8209.720356986316,-17.902796430136835,10,29,29,51.724137931034484,380.0
Down-Trend (Jun 2026),Daily,Base,Unfiltered,0.54,9377.951025137987,-6.220489748620128,8209.720356986316,-17.902796430136835,10,29,29,51.724137931034484,1026.0
Down-Trend (Jun 2026),Daily,Base,Filtered+Hysteresis,0.2,10299.55323728964,2.9955323728964034,8209.720356986316,-17.902796430136835,5,7,29,71.42857142857143,100.0
Down-Trend (Jun 2026),Daily,Base,Filtered+Hysteresis,0.54,10128.09545536673,1.2809545536673017,8209.720356986316,-17.902796430136835,5,7,29,71.42857142857143,270.0
Down-Trend (Jun 2026),Hourly,Small,Unfiltered,0.2,6483.954599991196,-35.16045400008804,7934.588888136973,-20.65411111863027,92,719,719,52.01668984700974,3660.0
Down-Trend (Jun 2026),Hourly,Small,Unfiltered,0.54,3464.3150967180018,-65.35684903281998,7934.588888136973,-20.65411111863027,92,719,719,52.01668984700974,9882.0
Down-Trend (Jun 2026),Hourly,Small,Filtered+Hysteresis,0.2,9974.760937516952,-0.2523906248304786,7934.588888136973,-20.65411111863027,98,196,719,59.183673469387756,1960.0
Down-Trend (Jun 2026),Hourly,Small,Filtered+Hysteresis,0.54,7144.362497565397,-28.556375024346035,7934.588888136973,-20.65411111863027,98,196,719,59.183673469387756,5292.0
Down-Trend (Jun 2026),Hourly,Base,Unfiltered,0.2,6815.678078027037,-31.843219219729622,7934.588888136973,-20.65411111863027,80,719,719,51.182197496522946,3180.0
Down-Trend (Jun 2026),Hourly,Base,Unfiltered,0.54,3952.494744304695,-60.475052556953045,7934.588888136973,-20.65411111863027,80,719,719,51.182197496522946,8586.0
Down-Trend (Jun 2026),Hourly,Base,Filtered+Hysteresis,0.2,10409.98994184888,4.099899418488806,7934.588888136973,-20.65411111863027,96,213,719,59.15492957746479,1920.0
Down-Trend (Jun 2026),Hourly,Base,Filtered+Hysteresis,0.54,7507.342644530709,-24.92657355469291,7934.588888136973,-20.65411111863027,96,213,719,59.15492957746479,5184.0
Down-Trend (Jun 2026),15-Minute,Small,Unfiltered,0.2,5465.49113246583,-45.34508867534171,7943.065720133069,-20.56934279866931,158,2879,2879,50.052101424105594,6300.0
Down-Trend (Jun 2026),15-Minute,Small,Unfiltered,0.54,1857.6933522389725,-81.42306647761028,7943.065720133069,-20.56934279866931,158,2879,2879,50.052101424105594,17010.0
Down-Trend (Jun 2026),15-Minute,Small,Filtered+Hysteresis,0.2,9244.052400069208,-7.55947599930793,7943.065720133069,-20.56934279866931,336,1042,2879,56.90978886756238,6720.0
Down-Trend (Jun 2026),15-Minute,Small,Filtered+Hysteresis,0.54,2941.445648777654,-70.58554351222345,7943.065720133069,-20.56934279866931,336,1042,2879,56.90978886756238,18144.0
Down-Trend (Jun 2026),15-Minute,Base,Unfiltered,0.2,4771.627259925064,-52.283727400749356,7943.065720133069,-20.56934279866931,176,2879,2879,50.74678707884682,7020.0
Down-Trend (Jun 2026),15-Minute,Base,Unfiltered,0.54,1433.8385746809722,-85.66161425319028,7943.065720133069,-20.56934279866931,176,2879,2879,50.74678707884682,18954.0
Down-Trend (Jun 2026),15-Minute,Base,Filtered+Hysteresis,0.2,8340.053392601652,-16.59946607398347,7943.065720133069,-20.56934279866931,364,1080,2879,57.407407407407405,7280.0
Down-Trend (Jun 2026),15-Minute,Base,Filtered+Hysteresis,0.54,2411.573884123843,-75.88426115876157,7943.065720133069,-20.56934279866931,364,1080,2879,57.407407407407405,19656.0
