MAE,RMSE,MAPE,DirectionalAccuracy,Correlation,T,top_p,sample_count,elapsed_sec
2834.299290798611,4007.329429060424,4.090583958809776,45.833333333333336,0.8211667553464953,0.6,0.8,1,5.86
2726.3363810763894,3858.3174658500943,3.925720724099372,38.888888888888886,0.8122942732555771,0.6,0.8,3,17.78
3126.023251736111,4216.3902133106585,4.465892163635651,52.083333333333336,0.7908762435221117,0.6,0.9,1,6.14
2885.3061961805556,4022.5959308701317,4.127764814216681,41.666666666666664,0.8078761097819642,0.6,0.9,3,18.9
2832.817447916667,3966.46817997053,4.047209723084739,43.75,0.7949097948655466,0.6,1.0,1,6.29
2645.5103880208335,3735.746715767161,3.806687533340193,40.27777777777778,0.8337141475991314,0.6,1.0,3,19.18
2870.5265121527777,3984.266774107869,4.141946457752322,45.833333333333336,0.8050097363685782,0.8,0.8,1,6.44
2797.4125173611105,3941.9914697744352,4.0263978555559445,49.30555555555556,0.8141332015490625,0.8,0.8,3,19.25
2949.3905190972223,3949.508269008131,4.243524166941441,52.083333333333336,0.8033499784608179,0.8,0.9,1,6.67
2937.876618055556,4096.880382907718,4.231179653129257,50.69444444444444,0.7980839674896527,0.8,0.9,3,18.95
3188.7484062500007,4506.791190260677,4.591784512700907,46.52777777777778,0.7465660537877288,0.8,1.0,1,6.15
2825.285490451389,4043.7948738687205,4.062060661141286,48.611111111111114,0.7983492989663009,0.8,1.0,3,18.84
3310.1436727430555,4512.149258472107,4.757537462939979,47.22222222222222,0.7783891404866173,1.0,0.8,1,6.26
2853.341699652778,4093.024596193911,4.137876601994028,51.388888888888886,0.808916278499328,1.0,0.8,3,18.85
3224.1464609375,4297.413425018224,4.673220448646891,47.916666666666664,0.7856589207924738,1.0,0.9,1,6.23
2969.504142361111,4113.609325124998,4.253672522844566,52.77777777777778,0.7934969515748829,1.0,0.9,3,18.82
3117.3556484375,4442.244540546987,4.4924847683408755,47.22222222222222,0.7775247275322748,1.0,1.0,1,6.3
2980.235095486111,4131.536143788571,4.278877218624266,52.77777777777778,0.7878002215243479,1.0,1.0,3,19.03
3222.970930555556,4415.683985817986,4.639773450888,45.138888888888886,0.7718318914328314,1.2,0.8,1,6.24
3009.116112847222,4231.786267565054,4.333160082996414,47.22222222222222,0.7777904440498496,1.2,0.8,3,18.61
3088.173705729167,4396.531597532688,4.443315152434871,45.138888888888886,0.7791364928956203,1.2,0.9,1,6.34
2952.0564791666666,4125.969526906576,4.2528486245833355,50.69444444444444,0.7882481263645209,1.2,0.9,3,18.95
3706.9492161458334,5108.606849899132,5.308821355861233,49.30555555555556,0.6877911618454022,1.2,1.0,1,6.38
3183.0651640625006,4328.848801506883,4.594137989243408,52.77777777777778,0.7726511765210812,1.2,1.0,3,19.03
3196.7358098958334,4418.873449868819,4.6192839033145425,45.833333333333336,0.792855603229041,0.9,0.85,1,6.45
3088.2210824652775,4207.062375850308,4.4418890423591195,54.166666666666664,0.7881046654835135,0.9,0.85,3,19.13
2780.5599444444447,3898.0901137889996,4.004096472731749,46.52777777777778,0.8158108080886189,0.9,0.85,5,33.6
3239.7898350694445,4317.265988257864,4.652850357758823,47.22222222222222,0.7658206096700128,0.9,0.9,1,6.19
2926.0237769097225,4276.696193623765,4.217624243357908,48.611111111111114,0.7808564337282194,0.9,0.9,3,18.69
2876.1920703125006,4069.7024345998207,4.1341336522792025,44.44444444444444,0.8010142240468564,0.9,0.9,5,33.86
3137.9816111111113,4258.181276750643,4.491206839222519,45.833333333333336,0.7844666687986257,0.9,0.95,1,6.13
2820.3656744791665,3956.044704137365,4.0793857400822935,46.52777777777778,0.8105768833681045,0.9,0.95,3,18.92
2978.3185729166667,4224.898188496471,4.273026640917724,49.30555555555556,0.7838575488890488,0.9,0.95,5,33.69
2917.7486605902777,4284.409901407033,4.191475604938728,40.27777777777778,0.7903102771314463,1.0,0.85,1,6.37
2949.7551093750008,4208.3545181038535,4.249590168114178,47.916666666666664,0.7920695195193909,1.0,0.85,3,19.08
2836.669174479167,4016.534950489401,4.070591186861137,50.69444444444444,0.803771034130851,1.0,0.85,5,33.71
2889.547253472222,4218.604294201451,4.177882640127792,43.75,0.7869500067685022,1.0,0.9,5,34.26
3471.1343567708327,4660.949246788761,5.005017979486917,45.833333333333336,0.7343005420392391,1.0,0.95,1,6.58
3102.5672743055557,4276.523019039242,4.45379046071653,50.0,0.7829296230671091,1.0,0.95,3,19.27
2909.4211519097225,4162.035224025181,4.199816651691775,47.22222222222222,0.788167581162983,1.0,0.95,5,33.95
3072.9956006944444,4161.555486865,4.441850020658501,52.083333333333336,0.8055882508051766,1.1,0.85,1,6.26
2972.0207230902774,4332.378461252499,4.286670304937526,40.27777777777778,0.7707766825720066,1.1,0.85,3,18.98
2930.762020833333,4119.9005208326,4.229227538999794,42.361111111111114,0.7936982423009703,1.1,0.85,5,34.06
3362.8264696180554,4719.052190634234,4.802215196013919,46.52777777777778,0.7304123337504814,1.1,0.9,1,6.17
3137.035387152778,4290.273149094029,4.5127961342916345,35.416666666666664,0.7743433731809366,1.1,0.9,3,18.93
3102.2285390624997,4280.716156476865,4.461115858691475,49.30555555555556,0.7885400016072815,1.1,0.9,5,33.94
2982.0279105902778,4256.023008542292,4.299993793616676,45.833333333333336,0.7763506869560148,1.1,0.95,1,6.2
3109.4051154513895,4298.400910278759,4.473264878361947,48.611111111111114,0.7788813203122342,1.1,0.95,3,19.1
2985.6682499999997,4222.839026151035,4.294164478558233,43.75,0.7845003339825879,1.1,0.95,5,32.53
