Window,Interval,Slippage %,Strategy,final_equity,total_return_pct,buy_hold_final_equity,buy_hold_return_pct,num_trades,active_bars,total_bars,win_rate_pct,total_slippage_cost_usd
Recent,Daily,0.2,Unfiltered,9703.852050536649,-2.961479494633512,10462.73486268967,4.627348626896688,10,29,29,55.172413793103445,380.0
Recent,Daily,0.2,Filtered+Hysteresis,10352.767739559156,3.5276773955915663,10462.73486268967,4.627348626896688,9,15,29,66.66666666666667,200.0
Recent,Daily,0.2,Filtered+CMF+VolVeto+Hysteresis,10144.970439760891,1.4497043976089197,10462.73486268967,4.627348626896688,7,12,29,66.66666666666667,160.0
Recent,Daily,0.54,Unfiltered,9091.302329936741,-9.086976700632587,10462.73486268967,4.627348626896688,10,29,29,55.172413793103445,1026.0
Recent,Daily,0.54,Filtered+Hysteresis,10007.781926859147,0.07781926859147248,10462.73486268967,4.627348626896688,9,15,29,66.66666666666667,540.0
Recent,Daily,0.54,Filtered+CMF+VolVeto+Hysteresis,9873.569949970792,-1.2643005002920815,10462.73486268967,4.627348626896688,7,12,29,66.66666666666667,432.0
Recent,Hourly,0.2,Unfiltered,7280.142851554479,-27.198571484455204,10559.736102815526,5.597361028155268,93,719,719,50.48678720445063,3700.0
Recent,Hourly,0.2,Filtered+Hysteresis,10550.67083352596,5.506708335259591,10559.736102815526,5.597361028155268,74,165,719,63.63636363636363,1480.0
Recent,Hourly,0.2,Filtered+CMF+VolVeto+Hysteresis,10589.960972357185,5.899609723571841,10559.736102815526,5.597361028155268,44,74,719,67.56756756756756,880.0
Recent,Hourly,0.54,Unfiltered,3863.43175113677,-61.3656824886323,10559.736102815526,5.597361028155268,93,719,719,50.48678720445063,9990.0
Recent,Hourly,0.54,Filtered+Hysteresis,8198.84085982459,-18.011591401754103,10559.736102815526,5.597361028155268,74,165,719,63.63636363636363,3996.0
Recent,Hourly,0.54,Filtered+CMF+VolVeto+Hysteresis,9115.588096467882,-8.844119035321185,10559.736102815526,5.597361028155268,44,74,719,67.56756756756756,2376.0
Recent,15-Minute,0.2,Unfiltered,6295.609839160525,-37.043901608394755,10564.762392639224,5.647623926392242,131,2879,2879,50.57311566516152,5220.0
Recent,15-Minute,0.2,Filtered+Hysteresis,7685.320121330066,-23.146798786699343,10564.762392639224,5.647623926392242,338,1160,2879,57.1551724137931,6780.0
Recent,15-Minute,0.2,Filtered+CMF+VolVeto+Hysteresis,6378.232534158276,-36.21767465841723,10564.762392639224,5.647623926392242,340,755,2879,54.56953642384106,6800.0
Recent,15-Minute,0.54,Unfiltered,2575.2516559632936,-74.24748344036706,10564.762392639224,5.647623926392242,131,2879,2879,50.57311566516152,14094.0
Recent,15-Minute,0.54,Filtered+Hysteresis,2419.454766217228,-75.80545233782772,10564.762392639224,5.647623926392242,338,1160,2879,57.1551724137931,18306.0
Recent,15-Minute,0.54,Filtered+CMF+VolVeto+Hysteresis,2000.3343433201348,-79.99665656679865,10564.762392639224,5.647623926392242,340,755,2879,54.56953642384106,18360.0
Down-Trend (Jun 2026),Daily,0.2,Unfiltered,8905.165960983024,-10.948340390169765,8209.720356986316,-17.902796430136835,8,29,29,41.37931034482759,300.0
