Model,Granularity,MAE,RMSE,MAPE,DirectionalAccuracy,Correlation
Kronos-base,15-Minute,1002.6486450320514,1477.2253566837496,1.4386339041730625,50.59572006940428,0.9729697512387805
Kronos-small,15-Minute,1113.1324415064103,1565.9311473543553,1.5968020976511301,50.86755349913245,0.9708145783767466
Kronos-base,Daily,3483.347072222223,4730.4605083392025,5.022780408677276,52.77777777777778,0.727664567062848
Kronos-small,Daily,3261.489444444445,4572.432346768879,4.677689740654298,47.22222222222222,0.7654154218560549
Kronos-base,Hourly,1017.5727948717949,1463.5099351355923,1.4653944809802109,49.59388437649307,0.9737221094319806
Kronos-small,Hourly,1086.350386904762,1509.6996074837193,1.553729146831574,49.76110845676063,0.9730418646467907
