timestamp,actual,predicted,sma20,macd_hist,prev_actual,position,pred_ret_pct,sma_dist_pct,macd_hist_slope
2019-01-01,31.48,32.535225,29.2925,0.4706821813231753,29.9,1,8.813461252678204,7.467781855423743,
2019-01-02,32.67,33.49271,29.772,0.5260639130064008,31.48,1,6.393615354273793,9.73397823458284,0.055381731683225466
2019-01-03,31.39,33.80126,30.174500000000002,0.45505538628470454,32.67,1,3.4626933022818087,4.028235761984453,-0.07100852672169622
2019-01-04,31.76,32.33089,30.5825,0.4128122605133421,31.39,1,2.9974216486702057,3.8502411509850467,-0.042243125771362466
2019-01-05,34.33,29.500484,31.023000000000003,0.5302711629894339,31.76,0,-7.1143436191664575,10.659833027108903,0.11745890247609181
2019-01-06,38.3,33.08007,31.490499999999997,0.8298069471706224,34.33,0,-3.6409248598733748,21.623981835791746,0.29953578418118854
2019-01-07,37.35,31.916348,31.8635,0.9118886287548023,38.3,0,-16.66749999043835,17.21876127857895,0.08208168158417983
2019-01-08,38.7,31.381233,32.357,0.9980736823746127,37.35,0,-15.980633961627763,19.603177055969354,0.08618505361981044
2019-01-09,38.17,31.620487,32.6565,0.9600606673771404,38.7,0,-18.293314694742214,16.883315725812626,-0.03801301499747234
2019-01-10,32.81,32.864117,32.782500000000006,0.5357679254459056,38.17,0,-13.900663692163556,0.08388621978188454,-0.4242927419312348
2019-01-11,31.49,32.183395,32.790499999999994,0.1482068991435903,32.81,0,-1.9097976661317122,-3.9660877388267823,-0.38756102630231526
2019-01-12,31.65,33.092903,32.7245,-0.10190246105328638,31.49,0,5.090197323617126,-3.283472627542057,-0.2501093601968767
2019-01-13,29.59,32.721123,32.57,-0.3941915912226316,31.65,0,3.38427406540038,-9.149524101934297,-0.2922891301693452
2019-01-14,31.71,33.348118,32.6305,-0.4299396277334344,29.59,0,12.70063476975039,-2.8209803711251653,-0.03574803651080283
2019-01-15,30.75,32.255653,32.653,-0.4985971908001675,31.71,0,1.720761215224394,-5.827948427403298,-0.0686575630667331
2019-01-16,31.29,29.666027,32.839999999999996,-0.48741976506131457,30.75,-1,-3.525115222465701,-4.719853836784401,0.011177425738852942
2019-01-17,31.4,28.77919,32.82000000000001,-0.4531199213290647,31.29,-1,-8.024320666421977,-4.326630103595395,0.03429984373224987
2019-01-18,30.77,29.855911,32.8445,-0.45231776770810306,31.4,-1,-4.917480079991039,-6.316125987608266,0.0008021536209616431
2019-01-19,32.0,30.821518,32.8755,-0.3528215891211636,30.77,0,0.16742913336346416,-2.6630773676446053,0.09949617858693943
2019-01-20,30.64,27.36702,32.9125,-0.3611652593153854,32.0,-1,-14.478063583374023,-6.904671477402205,-0.008343670194221775
2019-01-21,30.82,28.463118,32.87949999999999,-0.3375610975803458,30.64,-1,-7.1047075734748555,-6.263781383536833,0.023604161735039597
2019-01-22,31.41,28.872065,32.816500000000005,-0.26823541069836754,30.82,-1,-6.320361484574623,-4.285953712309371,0.06932568688197827
