symbol,entry_timestamp,exit_timestamp,direction,holding_bars,predicted_move_pct_at_entry,sma_dist_pct_at_entry,macd_hist_at_entry,macd_hist_slope_at_entry,realized_return_pct,outcome
ETHUSDT,2019-01-06,2019-01-08,1,3,0.5190775858234966,18.019759450171836,3.4358022867549867,-0.3533525404089861,-3.82210299025062,0
ETHUSDT,2019-01-10,2019-01-12,-1,3,-1.089149902673443,-9.340898537264923,-0.7536908518418288,-2.015050844028397,16.311681296421334,1
ETHUSDT,2019-01-15,2019-01-18,-1,4,-1.1800314507741752,-12.707818869641477,-3.811224723659603,-0.16093651876835713,5.728397006695552,1
ETHUSDT,2019-01-20,2019-01-22,-1,3,-1.8347959533990064,-12.217248671713296,-2.4886434232823,0.10894128399984782,3.5070146818923287,1
ETHUSDT,2019-01-26,2019-01-28,-1,3,-2.3788912125833437,-6.872343088295245,-1.2021846248236239,0.2216308261479103,7.948536182781685,1
ETHUSDT,2019-02-01,2019-02-03,-1,3,-4.5975895494233825,-7.292073832790441,-1.0202617401937415,0.2221201189318398,-1.264336715520486,0
ETHUSDT,2019-02-08,2019-02-10,1,3,8.78874003248229,7.49974082871707,0.9492644506866279,1.0047207347077247,19.354977029096474,1
ETHUSDT,2019-02-15,2019-02-17,1,3,2.1322755001050995,7.864431422264377,1.901066223668428,-0.18124768175902295,10.669589769141341,1
ETHUSDT,2019-02-20,2019-02-22,1,3,1.7066053485178923,23.021332316719437,3.846220970634242,0.29609023955558333,2.3328499721137823,1
ETHUSDT,2019-02-25,2019-02-27,1,3,0.5634940275182198,6.274979861943509,1.1091313973009687,-0.8547680948866478,1.810446631339913,1
ETHUSDT,2019-03-02,2019-03-04,-1,3,-2.0763829090593084,-1.680320117485196,-1.3229639983548962,-0.3543513346563749,6.746024238841253,1
ETHUSDT,2019-03-07,2019-03-09,-1,3,-1.079547110256327,-0.7342804486946934,-1.0282723949505388,0.23855008004194733,-0.3053857350800656,0
