timestamps,open,high,low,close,volume,amount
2018-06-01,118.25,120.4,116.62,120.19,51605.41534,6128372.2864044
2018-06-02,120.19,124.5,118.66,123.44,45059.33298,5504755.4425296
2018-06-03,123.44,127.98,122.23,125.33,52884.48398,6636628.9044011
2018-06-04,125.07,127.01,118.0,119.77,59686.2455,7227010.0950593
2018-06-05,119.77,122.6,115.77,122.18,48879.6275,5823546.8693892
2018-06-06,122.2,122.94,118.0,121.61,36817.66091,4450435.1276919
2018-06-07,121.63,123.84,119.4,121.54,39573.29608,4812926.9252882
2018-06-08,121.56,122.18,118.04,119.68,28982.19754,3468451.5544842
2018-06-09,119.9,120.93,116.7,117.4,17060.66336,2035221.8030919
2018-06-10,117.25,117.47,102.75,106.48,88683.19352,9692900.3365471
2018-06-11,106.5,108.42,102.7,107.2,56836.22735,6006747.920507
2018-06-12,107.2,107.86,94.05,99.68,73444.59887,7540691.1212508
2018-06-13,99.68,100.45,86.71,93.37,168148.05693,15894051.7971939
2018-06-14,93.4,102.87,91.65,100.88,177889.85806,17309706.9493822
2018-06-15,100.89,100.98,94.49,95.5,155895.24619,15253287.6609214
2018-06-16,95.5,97.58,92.68,96.66,130013.99526,12447952.5384872
2018-06-17,96.65,98.2,94.51,94.95,119733.09263,11542696.5672782
2018-06-18,94.95,99.88,92.89,98.7,161804.46253,15517726.7643408
2018-06-19,98.79,120.0,96.91,98.67,130065.51125,12839843.2750858
2018-06-20,98.67,99.13,95.21,97.72,141985.64173,13782651.3579555
2018-06-21,97.72,99.3,96.0,96.72,137564.825,13359242.491736
2018-06-22,96.74,96.87,80.02,84.8,232108.91398,20336007.6290002
2018-06-23,84.75,86.77,81.31,82.73,165849.75562,13847070.9212274
2018-06-24,82.76,83.63,73.22,80.37,250304.81918,19659622.6025612
2018-06-25,80.46,84.38,78.55,81.48,164736.37327,13384187.7377008
2018-06-26,81.48,81.99,75.0,75.54,118123.18034,9353924.3990311
2018-06-27,75.63,81.75,74.87,80.6,139175.33409,10907247.0625975
2018-06-28,80.71,81.43,73.89,74.05,179829.06566,14111508.6826739
2018-06-29,74.24,80.79,72.15,78.94,182184.86448,13628167.3719328
2018-06-30,78.94,84.59,78.84,81.33,170407.29923,13873276.6907395
2018-07-01,81.34,81.83,77.73,79.95,145195.40481,11578099.2779205
2018-07-02,79.96,87.06,78.11,85.36,171028.13169,14148269.2234263
2018-07-03,85.36,90.0,83.64,85.09,192538.98749,16697670.121509
2018-07-04,84.87,89.01,83.98,85.28,119209.87857,10301557.5862838
2018-07-05,85.23,87.11,81.77,83.33,170561.63319,14375938.528664
2018-07-06,83.26,84.23,80.67,83.1,156241.98721,12927067.5168636
2018-07-07,83.1,85.35,79.4,84.79,161497.86946,13194718.2053427
2018-07-08,84.88,85.7,81.81,82.22,151162.89899,12714183.7492641
2018-07-09,82.26,83.12,79.8,80.46,164942.79095,13486143.2798038
2018-07-10,80.58,80.62,74.25,75.81,211707.97169,16301339.7445156
2018-07-11,75.79,80.98,75.31,78.18,192182.00671,14878690.4379341
2018-07-12,78.18,78.25,74.0,76.79,181966.74235,13812292.3279434
2018-07-13,76.82,78.6,74.96,76.53,167655.26932,12912109.6754353
2018-07-14,76.52,77.5,75.37,76.18,142798.45441,10889163.0562266
2018-07-15,76.19,79.5,75.1,78.54,149955.80081,11604880.68028
2018-07-16,78.54,84.28,77.6,83.49,182917.22074,14849320.6163774
2018-07-17,83.65,90.0,81.3,89.06,204689.47756,17424042.8957612
2018-07-18,88.99,94.41,84.2,86.21,207474.92801,18644932.145683
2018-07-19,86.26,89.0,84.8,86.0,154334.95177,13363247.479054
2018-07-20,86.1,86.69,80.72,81.87,172067.63126,14427924.6324704
2018-07-21,81.84,84.93,79.5,83.44,134142.44869,11093940.8247099
2018-07-22,83.42,84.2,81.78,82.21,137457.8165,11406970.0475816
2018-07-23,82.2,85.96,81.1,81.38,143669.03549,12017252.0703626
2018-07-24,81.43,89.79,80.79,89.12,207891.17573,17982460.0146273
2018-07-25,89.02,90.75,84.81,86.38,164176.79921,14305114.7484705
2018-07-26,86.38,87.9,82.75,83.37,151787.8452,13102178.265579
2018-07-27,83.51,85.12,81.37,84.39,158734.44422,13246486.8508777
2018-07-28,84.39,84.7,82.26,84.07,124974.4699,10466944.3885658
2018-07-29,84.1,85.38,83.22,83.85,119512.7544,10028538.8565991
2018-07-30,83.89,84.62,79.76,82.18,146947.05011,12152782.1732837
2018-07-31,82.16,82.63,76.02,78.69,157911.8041,12489474.2961049
2018-08-01,78.91,79.06,75.78,77.53,139634.79769,10805717.3092267
2018-08-02,77.62,78.46,75.33,76.11,134458.4997,10335329.4233413
2018-08-03,76.16,77.84,74.66,77.7,141502.8987,10755649.4894646
2018-08-04,77.63,78.15,72.1,73.13,148949.16457,11228478.3691647
2018-08-05,73.06,74.73,72.23,74.61,133945.84351,9870760.383583
2018-08-06,74.6,76.7,72.35,73.62,137607.07273,10218380.652637
2018-08-07,73.67,75.24,66.58,67.35,164019.46827,11907649.7705943
2018-08-08,67.32,67.49,60.8,62.13,185720.38797,11974283.3683025
2018-08-09,62.13,64.94,60.0,62.89,179209.22762,11263053.9221285
2018-08-10,62.84,63.14,58.12,59.16,181493.85537,11133870.1528231
2018-08-11,59.16,59.98,55.0,57.6,195460.35141,11141417.3558336
2018-08-12,57.73,61.55,57.02,59.32,173455.18347,10331214.5582386
2018-08-13,59.21,60.61,55.52,56.44,192384.17619,11164711.9247184
2018-08-14,56.5,56.5,49.2,54.24,230722.82945,11992181.1969879
2018-08-15,54.26,59.2,53.7,54.32,232565.44512,13029652.1463702
2018-08-16,54.32,57.58,54.06,55.29,153625.58485,8558558.0436344
2018-08-17,55.32,61.89,54.99,61.75,230326.37031,13405002.8651858
2018-08-18,61.79,62.31,55.12,57.04,205917.54266,11969875.7158708
2018-08-19,57.04,58.98,56.1,57.67,183235.7261,10508700.8036626
2018-08-20,57.79,58.5,53.18,53.39,220297.28735,12325875.738144
2018-08-21,53.39,56.82,53.21,56.42,176189.09409,9710200.6576136
2018-08-22,56.43,59.75,53.82,55.14,243024.91246,13791753.7616232
2018-08-23,55.15,57.89,54.8,57.29,168194.87364,9382986.3347497
2018-08-24,57.3,58.36,55.5,57.82,162850.08326,9285143.5188117
2018-08-25,57.88,58.38,56.93,57.89,141200.40986,8154031.6819145
2018-08-26,57.88,58.08,55.74,56.99,149004.51461,8456358.2434211
2018-08-27,57.05,61.17,56.52,60.61,173547.49618,10042122.8798607
2018-08-28,60.69,63.74,59.65,63.13,213926.35247,13093911.4322786
2018-08-29,63.12,63.4,60.14,61.41,185484.94761,11486407.6211692
2018-08-30,61.52,61.65,58.55,60.23,179589.13646,10761861.6166235
2018-08-31,60.13,62.75,59.55,62.04,176396.73591,10744055.1253341
2018-09-01,62.04,67.93,61.97,66.49,210232.08113,13646887.0324832
2018-09-02,66.45,67.3,64.15,66.21,180336.18966,11838318.6165133
2018-09-03,66.21,66.55,64.21,65.44,162189.69577,10569362.8786437
2018-09-04,65.5,69.45,65.36,67.6,220730.4701,14960889.6771891
