timestamp,actual,predicted,sma20,macd_hist,prev_actual,position,pred_ret_pct,sma_dist_pct,macd_hist_slope
2019-01-01,3797.14,3822.4778,3674.689,47.07979731952233,3702.9,1,3.2293009047807097,3.3322819971975863,
2019-01-02,3858.56,3820.767,3702.5140000000006,48.590887072285966,3797.14,1,0.6222338350376896,4.214595812466863,1.5110897527636382
2019-01-03,3766.78,3853.8496,3729.6445,42.09111077009179,3858.56,1,-0.12207638665719713,0.9956847093603779,-6.499776302194178
2019-01-04,3792.01,3867.6523,3758.6589999999997,38.28237852275092,3766.78,1,2.6779462498473445,0.887311139425007,-3.8087322473408705
2019-01-05,3770.96,4039.6733,3785.7735000000002,33.319265826979134,3792.01,0,6.531188995908496,-0.3912938795730966,-4.963112695771784
2019-01-06,3987.6,3767.2217,3809.6994999999997,42.98566356507004,3770.96,0,-0.09913444620202909,4.669672765529151,9.666397738090907
2019-01-07,3975.45,3778.9333,3825.8229999999994,46.61601015278186,3987.6,0,-5.232888213226626,3.9109754946844233,3.63034658771182
2019-01-08,3955.13,3789.1997,3840.4685,45.64513042020934,3975.45,0,-4.685011582808231,2.9856123022490655,-0.97087973257252
2019-01-09,3966.65,3757.2554,3836.3199999999997,43.76910622120026,3955.13,0,-5.002986726258053,3.3972661300413,-1.8760241990090805
2019-01-10,3585.88,3672.31,3823.6809999999996,16.289309308996636,3966.65,0,-7.420365835308133,-6.219164203289958,-27.479796912203625
2019-01-11,3601.31,3735.854,3806.3009999999995,-0.5504681763278185,3585.88,0,4.1823486537823324,-5.385569874794441,-16.839777485324454
2019-01-12,3583.13,3753.2222,3788.972,-11.98217570671083,3601.31,0,4.218247470191404,-5.432660890605686,-11.431707530383012
2019-01-13,3476.81,3751.355,3762.4120000000003,-25.022519849025898,3583.13,0,4.694917026977807,-7.5909283725440035,-13.040344142315067
2019-01-14,3626.09,3756.2031,3756.4269999999997,-22.01870361107811,3476.81,0,8.035904320339624,-3.469706718645126,3.003816237947788
2019-01-15,3553.06,3932.736,3745.193,-23.253303248433276,3626.09,0,8.456659486785348,-5.130122800080002,-1.234599637355167
2019-01-16,3591.84,3562.2283,3746.3895,-19.89128811838259,3553.06,0,0.25803874644320823,-4.125291830974865,3.362015130050686
2019-01-17,3616.21,3716.5703,3735.2369999999996,-14.69872255832906,3591.84,0,3.472602134282146,-3.186598333653249,5.192565560053531
2019-01-18,3594.87,3845.0066,3730.2145000000005,-11.514610370519001,3616.21,0,6.326971934618703,-3.6283302206883974,3.184112187810058
2019-01-19,3665.3,3745.8574,3723.3839999999996,-3.8734831338575546,3594.87,0,4.200080166320343,-1.559978771998789,7.641127236661447
2019-01-20,3539.28,3675.121,3715.2030000000004,-6.367497332808924,3665.3,0,0.2679478828472381,-4.735219044558271,-2.494014198951369
2019-01-21,3526.9,3568.6433,3701.6910000000003,-7.816529357138691,3539.28,0,0.8296407898463756,-4.721923034634716,-1.4490320243297674
2019-01-22,3570.93,3564.5605,3687.3094999999994,-4.916856278476871,3526.9,0,1.067808752020185,-3.1562172906830734,2.89967307866182
2019-01-23,3552.82,3606.9438,3676.6115,-3.3979278635370065,3570.93,0,1.0085285249570886,-3.366999749633591,1.5189284149398645
2019-01-24,3569.62,3687.1697,3665.4919999999997,-0.5884289829642455,3552.82,0,3.7814940732819236,-2.6155288294177113,2.809498880572761
2019-01-25,3565.29,3697.765,3655.2084999999997,1.535569801377946,3569.62,0,3.5898749048393137,-2.4600101471639655,2.1239987843421915
2019-01-26,3565.25,3409.6946,3634.0910000000003,3.3888447833161877,3565.29,0,-4.364172898189908,-1.8943113972655155,1.8532749819382417
