timestamp,actual,predicted,sma20,macd_hist,prev_actual,position,pred_ret_pct,sma_dist_pct,macd_hist_slope
2019-01-01,139.1,119.65358,114.15,4.037048060377445,131.45,0,-8.974074011476551,21.857205431449835,
2019-01-02,152.01,117.92656,117.43350000000001,4.4968996075121375,139.1,0,-15.221740152234226,29.443472263025438,0.4598515471346927
2019-01-03,146.3,116.42819,120.5575,4.159193102835255,152.01,0,-23.40754414928499,21.352881405138632,-0.33770650467688235
2019-01-04,151.97,123.108765,123.968,4.05606116740408,146.3,0,-15.851835510295631,22.588087248322143,-0.10313193543117549
2019-01-05,152.83,124.80794,127.376,3.789154827163973,151.97,0,-17.87330550630367,19.983356362266054,-0.26690634024010684
2019-01-06,153.86,153.6233,130.368,3.4358022867549867,152.83,1,0.5190775858234966,18.019759450171836,-0.3533525404089861
2019-01-07,149.34,161.77844,132.8155,2.684771344286043,153.86,1,5.146524361635568,12.441695434644314,-0.7510309424689439
2019-01-08,147.6,155.65356,135.25849999999997,1.8951475351869655,149.34,1,4.227644605012051,9.124380353175606,-0.7896238090990773
2019-01-09,148.1,142.3119,136.961,1.2613599921865681,147.6,0,-3.582720252556526,8.13297215995793,-0.6337875430003974
2019-01-10,124.95,146.48697,137.824,-0.7536908518418288,148.1,-1,-1.089149902673443,-9.340898537264923,-2.015050844028397
2019-01-11,124.65,124.72618,138.2965,-2.0689070463390795,124.95,-1,-0.17912682651185702,-9.86756714739708,-1.3152161944972507
2019-01-12,123.35,127.22805,138.0125,-2.9356368405153166,124.65,-1,2.0682312329992683,-10.624037677746578,-0.8667297941762371
2019-01-13,114.16,133.52267,136.819,-3.9726590969255335,123.35,0,8.247000049085432,-16.561296311184844,-1.037022256410217
2019-01-14,126.95,129.65039,136.7865,-3.650288204891246,114.16,0,13.569017716363001,-7.191133627953042,0.3223708920342876
2019-01-15,118.95,125.45195,136.2665,-3.811224723659603,126.95,-1,-1.1800314507741752,-12.707818869641477,-0.16093651876835713
2019-01-16,121.48,114.80471,136.6505,-3.5859658539730255,118.95,-1,-3.484900892657763,-11.101679101064388,0.2252588696865776
2019-01-17,121.54,114.52968,135.9625,-3.279912126904597,121.48,-1,-5.721371135391374,-10.607704330238116,0.3060537270684285
