symbol,entry_timestamp,exit_timestamp,direction,holding_bars,predicted_move_pct_at_entry,sma_dist_pct_at_entry,macd_hist_at_entry,macd_hist_slope_at_entry,realized_return_pct,outcome
BTCUSDT,2019-01-01,2019-01-04,1,4,3.2293009047807097,3.3322819971975863,47.07979731952233,,2.006492208809308,1
BTCUSDT,2019-01-28,2019-02-01,-1,5,-3.923509340395516,-4.256189654795066,-2.605916842777262,-6.6564167447179585,2.099971837649684,1
BTCUSDT,2019-02-11,2019-02-14,1,4,3.5612122110441153,3.2426004209544486,33.4044411279125,-0.47957968050346267,-2.832025564800577,0
BTCUSDT,2019-02-16,2019-02-18,1,3,0.4743034813614049,2.521043403165629,17.738305559379583,-1.9796440723415607,7.820193367328532,1
BTCUSDT,2019-03-04,2019-03-06,-1,3,-11.102421151762853,-2.3061640621682327,-19.986701844661823,-7.308201981617074,-1.8205239314555972,0
BTCUSDT,2019-03-10,2019-03-12,1,3,3.7798638352324607,1.221575994421066,0.40492804432592067,1.5140180850983214,-1.9295305145268555,0
BTCUSDT,2019-03-17,2019-03-19,1,3,1.3376420708072676,2.960601562561618,4.812207016872549,1.9235086218871729,-0.16160639843434377,0
BTCUSDT,2019-03-23,2019-03-25,1,3,1.1801851122762417,2.1139523608758286,1.628557088872391,-1.1521264915814413,-1.6744141482293413,0
BTCUSDT,2019-04-11,2019-04-13,1,3,0.3544011679932181,10.238396847199018,54.980054287698295,-29.021929197353586,-5.355117034804313,0
BTCUSDT,2019-05-06,2019-05-08,1,3,6.276435203060453,6.213337689446582,18.472452811593627,-1.7358176299964612,3.2648879254521646,1
BTCUSDT,2019-05-16,2019-05-18,1,3,0.8575971259334618,25.46577629755072,204.36229125950388,-23.538604346460147,-11.568109162079686,0
BTCUSDT,2019-06-03,2019-06-09,-1,7,-19.783936070074645,-0.45198084529010424,-77.20595973937895,-42.41795036882536,12.181394869114982,1
BTCUSDT,2019-06-11,2019-06-13,-1,3,-3.5223900754752435,-3.492212542830103,-132.9869086098331,12.49975764806726,-3.353744010522708,0
BTCUSDT,2019-06-15,2019-06-18,1,4,5.461806809971098,6.932137054303506,5.5909254663586125,38.57545104796503,4.589017341040447,1
BTCUSDT,2019-06-20,2019-06-22,1,3,1.9962839285116207,13.344682347106923,97.56176929502362,13.484027626217085,15.525791071029204,1
BTCUSDT,2019-07-11,2019-07-14,-1,4,-10.787289468978903,-1.5864704594953347,-71.9228747411347,-55.73640590924276,15.573991544691811,1
BTCUSDT,2019-07-16,2019-07-18,-1,3,-1.4914634465601044,-16.63845880423095,-317.4309920847867,-90.2759255948481,1.5518909981990463,1
BTCUSDT,2019-08-04,2019-08-06,1,3,0.9871954956197955,8.174703864494354,124.48085262110104,34.449932334854736,5.746238372318757,1
BTCUSDT,2019-08-09,2019-08-13,1,5,2.2682117683297225,13.006954451928406,233.55546011604343,-16.787581150220745,-9.625676825472496,0
BTCUSDT,2019-08-19,2019-08-21,-1,3,-2.6727771973885215,-0.3842477276936448,-96.60597876919942,46.849299343426566,1.1932231016864696,1
BTCUSDT,2019-09-11,2019-09-13,1,3,2.437718325881477,0.021711036443524744,25.46297172704047,-11.75568387230409,2.0153929185048773,1
BTCUSDT,2019-09-20,2019-09-24,-1,5,-4.188499077900966,-1.232799181546358,-1.2078532892927498,-4.207904356067758,16.693912804108447,1
BTCUSDT,2019-10-13,2019-10-15,1,3,1.2371364346651645,0.3022032034121459,82.22629465030707,-0.9721579474326063,-2.0963671478261054,0
BTCUSDT,2019-10-20,2019-10-22,1,3,0.9833591108812114,0.289073419867947,49.14904797056852,15.06872479207857,0.5057613163546474,1
BTCUSDT,2019-10-25,2019-10-27,1,3,9.647720164140274,6.454798941727355,51.54904410032481,66.34015195015564,28.167227123162377,1
BTCUSDT,2019-10-29,2019-11-01,1,4,2.7872997450337595,12.528768780521881,214.2460045400931,10.303887953090907,-0.11244326539301373,0
BTCUSDT,2019-11-07,2019-11-09,1,3,2.5062021163822954,4.39498325933185,49.11262575421722,-22.559934750278643,-6.071240650815657,0
BTCUSDT,2019-11-18,2019-11-20,-1,3,-1.0222596156673367,-8.27862084248041,-102.37602671098844,-14.260883528779658,4.356186488520885,1
