symbol,entry_timestamp,exit_timestamp,direction,holding_bars,predicted_move_pct_at_entry,sma_dist_pct_at_entry,macd_hist_at_entry,macd_hist_slope_at_entry,realized_return_pct,outcome
BNBUSDT,2019-01-03,2019-01-05,1,3,1.970747627910157,3.7227595595910796,0.08300933976455005,-0.025679282173961454,-1.8625681705503156,0
BNBUSDT,2019-01-11,2019-01-13,1,3,3.4189627681223698,0.20631453634717342,0.01664897533818127,-0.025582389502375125,-6.834669540967342,0
BNBUSDT,2019-01-21,2019-01-23,1,3,1.6515088876982376,5.573846968160991,0.0395921664360917,0.0010548338242625521,1.1013748281464735,1
BNBUSDT,2019-01-29,2019-01-31,-1,3,-3.7173593814670594,-1.9195056288796766,-0.024084708957872097,-0.03537056593474122,-1.2954061770049425,0
BNBUSDT,2019-02-05,2019-02-07,1,3,2.9896671398384833,19.05257367101596,0.09524082113274909,0.06284163648576663,9.49320238078486,1
BNBUSDT,2019-02-26,2019-02-28,-1,3,-0.7851597509594908,-1.188242651657279,-0.10839562236569944,-0.0692179205302581,-6.393791702331719,0
BNBUSDT,2019-03-07,2019-03-09,1,3,0.10051647217102169,37.49590813087973,0.38935581065955605,0.0892675978882761,-0.8425509656283189,0
BNBUSDT,2019-03-17,2019-03-19,1,3,0.5646814787651315,16.19925523153387,0.04640805830801353,-0.03241331050380669,-3.304962121449473,0
BNBUSDT,2019-03-21,2019-03-23,-1,3,-41.49373099739753,-0.21394992445347413,-0.18865644990008268,-0.09586070881510755,-0.4720480143831637,0
BNBUSDT,2019-04-06,2019-04-08,1,3,3.121663610856798,12.631005249952922,0.10094999959004403,-0.03300245941902413,-7.5673112771549755,0
BNBUSDT,2019-04-18,2019-04-21,1,4,13.796636802917927,16.513608859565196,0.09012688791690304,0.1528259107251182,22.747140921965435,1
BNBUSDT,2019-04-26,2019-04-28,1,3,8.083388899574407,10.922275505135227,0.03153358619038249,-0.05502776028072076,1.9850077602806997,1
